Item;category
A5.1;Orientação da Direção para Segurança da Informação
A6.1;Organização interna
A6.2;Dispositivos móveis e trabalho remoto
A7.1;Antes da contratação
A7.2;Durante a contratação
A7.3;Encerramento e mudança da contratação
A8.1;Responsabilidade pelos ativos
A8.2;Classificação da informação
A8.3;Tratamento de Mídias
A9.1;Requisitos do negócio para controle de acesso
A9.2;Gerenciamento de acesso do usuário
A9.3;Responsabilidades dos usuários
A9.4;Controle de acesso ao sistema e à aplicação
A10.1;Controles criptográficos
A11.1;Áreas seguras
A11.2;Equipamentos
A12.1;Responsabilidades e procedimentos operacionais
A12.2;Proteção contra malware
A12.3;Cópias de Segurança
A12.4;Registros e monitoramento
A12.5;Controle de software operacional
A12.6;Gestão de Vulnerabilidades Técnicas
A12.7;Considerações quanto a auditoria de sistemas de informação
A13.1;Gerenciamento da segurança em redes
A13.2;Transferência de Informação
A14.1;Requisitos de segurança de sistemas de informação
A14.2;Segurança em processos de desenvolvimento e de suporte
A14.3;Dados para teste
A15.1;Segurança da informação na cadeia de suprimento
A15.2;Gerenciamento da entrega do serviço do fornecedor
A16.1;Gestão de incidentes de segurança da informação e melhorias
A17.1;Continuidade da segurança da informação
A17.2;Redundancias
A18.1;Conformidade com requisitos legais e contratuais
A18.2;Análise crítica da segurança da informação
