item;control
4.1.-;Entendendo a organização e seu contexto
4.2.-;Entendendo as necessidades e expectativas de partes interessadas
4.3.-;Determinando o escopo do sistema de gestão da qualidade
4.4.1;A organização deve estabelecer, implementar, manter e melhorar continuamente um sistema de gestão da qualidade, incluindo os processos necessários e suas interações, de acordo com os requisitos da ISO 9001
4.4.2;Na extensão necessária, a organização deve manter e reter informação documentada
5.1.1;Generalidades – A Alta Direção deve demonstrar liderança e comprometimento com relação ao sistema de gestão da qualidade
5.1.2;Foco no cliente
5.2.1;Desenvolvendo a política da qualidade
5.2.2;Comunicando a política da qualidade
5.3.-;Papéis, responsabilidades e autoridades organizacionais
6.1.1;Determinando no planejamento do sistema de gestão da qualidade os riscos e oportunidades a serem abordados para assegurar os resultados pretendidos, aumentar os efeitos desejáveis, prevenir ou reduzir o efeitos indesejáveis e alcançar a melhoria
6.1.2;A organização deve planejar ações para abordar riscos e oportunidades.
6.2.1;A organização deve estabelecer objetivos da qualidade nas funções, níveis e processos pertinentes necessários para o sistema de gestão da qualidade
6.2.2;Ao planejar como alcançar seus objetivos da qualidade, a organização deve determinar o que será feito, quais recursos serão requeridos, quem será o responsável, quando isso será concluído e como os resultados serão avaliados
6.3.-;Planejamento de mudanças
7.1.1;Generalidades – A organização deve determinar e prover os recursos necessários para o estabelecimento, implementação, manutenção e melhoria contínua do sistema de gestão da qualidade
7.1.2;Pessoas
7.1.3;Infraestrutura
7.1.4;Ambiente para a operação dos processos
7.1.5;Recursos de monitoramento e medição
7.1.6;Conhecimento organizacional
7.2.-;Competência
7.3.-;Conscientização
7.4.-;Comunicação
7.5.1;Generalidades – O sistema de gestão da qualidade da organização deve incluir: informação documentada requerida pela norma e identificada como necessária pela organização
7.5.2;Criando e atualizando
7.5.3;Controle de informação documentada
8.1.-;A organização deve planejar, implementar e controlar os processos necessários para atender aos requisitos para a provisão de produtos e serviços e para implementar as ações determinadas
8.2.1;Comunicação com o cliente
8.2.2;Determinação de requisitos
8.2.3;Análise crítica de requisitos relativos a produtos e serviços
8.2.4;Mudanças nos requisitos para produtos e serviços
8.3.1;Generalidades – A organização deve estabelecer, implementar e manter um processo de projeto e desenvolvimento que seja apropriado para assegurar a subsequente provisão de produtos e serviços
8.3.2;Planejamento de projeto e desenvolvimento
8.3.3;Entradas de projeto e desenvolvimento
8.3.4;Controles de projeto e desenvolvimento
8.3.5;Saídas de projeto e desenvolvimento
8.3.6;Mudanças de projeto e desenvolvimento
8.4.1;Generalidades – A organização deve assegurar que processos, produtos e serviços providos externamente estejam conforme com requisitos
8.4.2;Tipo e extensão do controle
8.4.3;Informação para provedores externos
8.5.1;Controle de produção e de provisão de serviço
8.5.2;Identificação e rastreabilidade
8.5.3;Propriedade pertencente a clientes ou provedores externos
8.5.4;Preservação
8.5.5;Atividades pós-entrega
8.5.6;Controle de mudanças
8.6.-;A organização deve implementar arranjos planejados, em estágios apropriados, para verificar se os requisitos do produto e do serviço foram atendidos
8.7.1;A organização deve assegurar que saídas que não estejam conformes com seus requisitos sejam identificadas e controladas para prevenir seu uso ou entrega não pretendido
8.7.2;A organização deve reter informação documentada que descreva a não conformidade, ações tomadas, concessões obtidas e identifique a autoridade que decide a ação com relação à não conformidade
9.1.1;Generalidades – A organização deve determinar: o que precisa ser monitorado e medido, os métodos e quando deve ser feito o monitoramento e avaliação dos resultados
9.1.2;Satisfação do cliente
9.1.3;Análise e avaliação
9.2.1;A organização deve conduzir auditorias internas a intervalos planejados para prover informações sobre se o sistema de gestão da qualidade está conforme e mantido eficazmente
9.2.2;A organização deve: planejar, estabelecer, implementar e manter um programa de auditoria, definindo critérios, selecionando auditores, assegurando resultados, executando ações corretivas e retendo informações documentadas
9.3.1;Generalidades – A Alta Direção deve analisar criticamente o sistema de gestão da qualidade da organização, a intervalos planejados, para assegurar sua contínua adequação, eficácia e alinhamento com o direcionamento estratégico da organização
9.3.2;Entradas de análise crítica pela direção
9.3.3;Saídas de análise crítica pela direção
10.1.-;A organização deve determinar e selecionar oportunidades para melhoria e implementar quaisquer ações necessárias para atender a requisitos do cliente e aumentar a satisfação do cliente
10.2.1;Ao ocorrer uma não conformidade, incluindo as provenientes de reclamações, a organização deve: reagir e avaliar necessidade de ação para eliminar a(s) causa(s)
10.3.-;A organização deve melhorar continuamente a adequação, suficiência e eficácia do sistema de gestão da qualidade
